Cross,Block,ID,Days,Mature_length,Mature_weight
YHF6QM7,4,376,44,14.68,0.066
YHF6QM7,8,377,43,14.07,0.061
YHF6QM7,8,378,47,14.08,0.058
YHF6QM7,8,379,40,13.32,0.049
YHF6QM7,8,380,43,13.55,0.05
YHF6QM7,8,381,37,14.23,0.062
YHF6QM7,13,382,43,14.43,0.064
YHF6QM7,13,383,38,14.56,0.073
YHF6QM7,3,384,42,14.22,0.066
YHF6QM7,3,385,37,14.45,0.066
YHF6QM7,3,386,37,14.48,0.063
YHF6QM7,6,387,40,14.38,0.064
YHF6QM7,6,388,48,14.05,0.059
YHF6QM7,6,389,40,13.85,0.069
YHF6QM7,6,390,,,
YHF6QM7,6,391,48,15.26,0.075
YHF6QM7,10,392,51,13.77,0.049
YHF6QM7,10,393,49,14.35,0.065
YHF6QM7,10,394,52,13.66,0.052
YHF6QM7,10,395,49,14.64,0.071
QF4YHM8,3,396,47,15,0.072
YHF5QM6,6,397,42,14.8,0.074
YHF5QM6,6,398,38,14.12,0.053
YHF5QM6,6,399,38,13.58,0.047
YHF5QM6,6,400,47,14.11,0.061
YHF5QM6,6,401,42,14.14,0.062
YHF5QM6,4,402,43,14,0.055
YHF5QM6,4,403,52,14.19,0.058
YHF5QM6,4,404,44,15.11,0.071
YHF5QM6,4,405,42,13.56,0.051
YHF5QM6,4,406,46,15.2,0.071
YHF6QM7,11,407,38,13.35,0.055
YHF6QM7,11,408,41,14.14,0.061
YHF6QM7,11,409,48,13.7,0.058
YHF6QM7,5,410,42,13.46,0.051
YHF6QM7,5,411,40,13.65,0.057
YHF6QM7,5,412,45,13.14,0.043
YHF6QM7,5,413,45,13.01,0.044
YHF6QM7,5,414,40,13.32,0.047
QF4YHM8,4,415,51,14.35,0.06
QF4YHM8,4,416,40,13.93,0.059
QF4YHM8,4,417,40,13.22,0.048
YHF5QM6,7,418,46,13.28,0.048
YHF5QM6,7,419,48,14.97,0.077
YHF5QM6,2,420,41,15.72,0.08
YHF5QM6,2,421,44,13.63,0.067
YHF5QM6,3,422,41,14.46,0.07
YHF5QM6,3,423,40,14.79,0.067
YHF5QM6,10,424,58,13.2,0.052
YHF5QM6,10,425,47,13.84,0.054
YHF5QM6,10,426,44,14.26,0.061
YHF5QM6,5,427,53,14.01,0.064
YHF5QM6,5,428,50,14.09,0.065
YHF5QM6,5,429,57,14.72,0.068
YHF5QM6,5,430,50,13.86,0.069
YHF5QM6,8,431,44,14.17,0.06
YHF5QM6,8,432,,,
